RAW,116449,135,52,-391,2
RAW,116467,145,44,-384,3
RAW,116486,154,36,-380,2
RAW,116504,158,28,-391,3
RAW,116522,165,22,-395,3
RAW,116541,167,17,-380,4
RAW,116560,169,14,-322,4
RAW,116577,171,12,-263,2
RAW,116596,177,8,-217,1
RAW,116615,181,4,-193,-1
RAW,116633,181,1,-173,2
RAW,116651,180,0,-153,2
RAW,116670,183,0,-129,1
RAW,116688,184,-1,-97,3
RAW,116707,188,-4,-86,3
RAW,116725,182,-3,-43,2
RAW,116743,187,-4,-43,2
RAW,116762,186,-4,-43,3
RAW,116780,185,-5,-43,3
RAW,116798,183,-3,10,1
RAW,116817,184,-3,0,3
RAW,116835,182,-2,21,1
RAW,116853,184,-2,21,2
RAW,116872,183,-2,32,2
RAW,116891,178,0,32,2
RAW,116909,184,0,32,4
RAW,116928,181,0,21,2
RAW,116946,180,0,21,2
RAW,116964,181,0,21,2
RAW,116983,178,1,10,2
RAW,117001,181,1,10,-1
RAW,117019,179,1,10,2
RAW,117038,179,1,10,3
RAW,117056,179,2,21,0
RAW,117074,178,2,10,2
RAW,117093,181,1,0,-1
RAW,117112,178,2,10,-1
RAW,117129,181,1,0,3
RAW,117148,181,1,-10,1
RAW,117167,179,0,-21,3
RAW,117185,178,1,0,2
RAW,117204,175,3,10,1
RAW,117222,179,3,21,-1
RAW,117240,177,4,32,3
RAW,117259,177,3,32,3
RAW,117277,176,4,32,1
RAW,117295,174,5,21,2
RAW,117314,173,6,32,2
RAW,117332,175,7,32,1
RAW,117350,176,6,32,4
RAW,117369,176,5,10,2
RAW,117388,176,5,0,1
RAW,117406,174,5,-10,3
RAW,117424,173,6,-10,2
RAW,117443,176,6,0,2
RAW,117461,175,6,10,2
RAW,117480,169,7,21,-3
RAW,117498,176,7,21,2
RAW,117516,171,9,32,2
RAW,117535,172,8,21,1
RAW,117553,173,9,32,1
RAW,117571,170,9,21,3
RAW,117590,170,10,32,-1
RAW,117608,174,9,0,1
RAW,117626,169,10,21,1
RAW,117645,168,10,10,2
RAW,117664,167,13,43,2
REP,1,145,1196
[117665][D][BLECharacteristic.cpp:790] onNotify(): >> onNotify: default
[117674][D][BLECharacteristic.cpp:791] onNotify(): << onNotify
[117681][D][BLECharacteristic.cpp:796] onStatus(): >> onStatus: default
[117682][D][BLEDevice.cpp:102] gattServerEventHandler(): gattServerEventHandler [esp_gatt_if: 4] ... ESP_GATTS_CONF_EVT
[117698][D][BLECharacteristic.cpp:797] onStatus(): << onStatus
RAW,117709,159,16,50,1
[117713][D][Tone.cpp:124] tone(): _pin=25, frequency=4000 Hz, duration=0 ms
[117721][D][Tone.cpp:31] tone_task(): Task received from queue TONE_START: _pin=25, frequency=4000 Hz, duration=0 ms
[117732][D][Tone.cpp:33] tone_task(): Setup LED controll on channel 0
RAW,117721,159,19,88,0
RAW,117736,156,23,118,0
RAW,117756,153,25,135,3
RAW,117773,151,27,128,1
RAW,117792,145,31,180,1
RAW,117811,142,35,177,-3
